step,csv-epoch,csv-train_loss_step,csv-val_loss_step,csv-val_loss_epoch,csv-accuracy/exact,csv-accuracy/validator,csv-train_loss_epoch
0,0,3.6008474826812744,,,,,
1,0,2.3767600059509277,,,,,
2,0,2.999934673309326,,,,,
3,0,3.1695053577423096,,,,,
4,0,2.819566249847412,,,,,
5,0,4.22351598739624,,,,,
6,0,2.7530105113983154,,,,,
7,0,3.4235074520111084,,,,,
8,0,2.710489511489868,,,,,
9,0,3.345991611480713,,,,,
10,0,3.020753860473633,,,,,
11,0,3.1110713481903076,,,,,
12,0,3.370225429534912,,,,,
13,0,3.5613598823547363,,,,,
14,0,2.4252870082855225,,,,,
15,0,2.6670188903808594,,,,,
16,0,2.266181707382202,,,,,
17,0,2.1091690063476562,,,,,
18,0,2.2357866764068604,,,,,
19,0,2.487039804458618,,,,,
20,0,2.6406571865081787,,,,,
21,0,2.0741236209869385,,,,,
22,0,2.9430201053619385,,,,,
23,0,2.5853819847106934,,,,,
24,0,2.5516769886016846,,,,,
25,0,2.1553077697753906,,,,,
26,0,2.456308364868164,,,,,
27,0,3.045978546142578,,,,,
28,0,2.5341272354125977,,,,,
29,0,2.1345348358154297,,,,,
30,0,2.0152759552001953,,,,,
31,0,1.9789857864379883,,,,,
32,0,2.0447356700897217,,,,,
33,0,2.839773416519165,,,,,
34,0,2.4489920139312744,,,,,
35,0,1.8992899656295776,,,,,
36,0,1.8059277534484863,,,,,
37,0,2.75357985496521,,,,,
38,0,1.5974640846252441,,,,,
39,0,1.9054087400436401,,,,,
40,0,1.375407338142395,,,,,
41,0,1.511806607246399,,,,,
42,0,2.5756473541259766,,,,,
43,0,2.3230035305023193,,,,,
44,0,1.6008986234664917,,,,,
45,0,1.6542668342590332,,,,,
46,0,1.6043503284454346,,,,,
47,0,2.346799612045288,,,,,
48,0,1.954419493675232,,,,,
49,0,2.1290149688720703,,,,,
50,0,1.6618512868881226,,,,,
51,0,1.802740216255188,,,,,
52,0,2.209365129470825,,,,,
53,0,2.034266948699951,,,,,
54,0,1.3479658365249634,,,,,
55,0,1.585694670677185,,,,,
56,0,1.699195146560669,,,,,
57,0,1.698051929473877,,,,,
58,0,1.6134618520736694,,,,,
59,0,1.5650863647460938,,,,,
60,0,1.5035336017608643,,,,,
61,0,1.5136148929595947,,,,,
62,0,1.5285478830337524,,,,,
63,0,1.774314522743225,,,,,
64,0,1.4185645580291748,,,,,
65,0,1.5628679990768433,,,,,
66,0,1.431978702545166,,,,,
67,0,1.6147804260253906,,,,,
68,0,1.033787727355957,,,,,
69,0,1.8750114440917969,,,,,
70,0,1.5072882175445557,,,,,
71,0,1.6234934329986572,,,,,
72,0,1.2542541027069092,,,,,
73,0,1.6720095872879028,,,,,
74,0,1.2215358018875122,,,,,
