step,csv-train_loss_step,csv-epoch,csv-val_loss_step,csv-val_loss_epoch,csv-train_loss_epoch,csv-accuracy/validator,csv-accuracy/exact
0,2.602022647857666,0,,,,,
1,2.338376045227051,0,,,,,
2,2.503605604171753,0,,,,,
3,2.3367831707000732,0,,,,,
4,2.156324863433838,0,,,,,
5,2.198570728302002,0,,,,,
6,1.9821654558181763,0,,,,,
7,2.043774127960205,0,,,,,
8,1.9089179039001465,0,,,,,
9,1.9500330686569214,0,,,,,
10,1.9146902561187744,0,,,,,
11,1.8890466690063477,0,,,,,
12,1.7298365831375122,0,,,,,
13,1.6696162223815918,0,,,,,
14,1.748232126235962,0,,,,,
15,1.631227970123291,0,,,,,
16,1.4486042261123657,0,,,,,
17,1.539283275604248,0,,,,,
18,1.5435360670089722,0,,,,,
19,1.5084115266799927,0,,,,,
0,,,1.1837493181228638,,,,
1,,,1.1977344751358032,,,,
2,,,0.9748151302337646,,,,
19,,0,,1.1566482782363892,,,
19,,0,,,1.9430184364318848,0.0,0.0
20,1.5451396703720093,1,,,,,
21,1.4943742752075195,1,,,,,
22,1.4482234716415405,1,,,,,
23,1.4000507593154907,1,,,,,
24,1.391152024269104,1,,,,,
25,1.4231511354446411,1,,,,,
26,1.3961948156356812,1,,,,,
27,1.3603825569152832,1,,,,,
28,1.2272409200668335,1,,,,,
29,1.2775170803070068,1,,,,,
30,1.2520644664764404,1,,,,,
31,1.1198605298995972,1,,,,,
32,1.162283182144165,1,,,,,
33,1.1303075551986694,1,,,,,
34,1.1204620599746704,1,,,,,
35,1.086230993270874,1,,,,,
36,1.0785194635391235,1,,,,,
37,1.1417255401611328,1,,,,,
38,1.0952847003936768,1,,,,,
39,1.1041921377182007,1,,,,,
3,,,0.793593168258667,,,,
4,,,0.8508164286613464,,,,
5,,,0.6065967082977295,,,,
39,,1,,0.7881614565849304,,,
39,,1,,,1.2667826414108276,0.0,0.0
40,0.9437891244888306,2,,,,,
41,0.9436900615692139,2,,,,,
42,0.9450851678848267,2,,,,,
43,0.9490125775337219,2,,,,,
44,0.894865870475769,2,,,,,
