step,csv-train_loss_step,csv-epoch,csv-val_loss_step,csv-val_loss_epoch,csv-accuracy/exact,csv-train_loss_epoch,csv-accuracy/validator
0,2.3925273418426514,0,,,,,
1,2.411076784133911,0,,,,,
2,2.1557083129882812,0,,,,,
3,2.1693053245544434,0,,,,,
4,2.162651538848877,0,,,,,
5,1.925622582435608,0,,,,,
6,1.8706870079040527,0,,,,,
7,1.786763072013855,0,,,,,
8,1.7468013763427734,0,,,,,
9,1.7818162441253662,0,,,,,
10,1.7798936367034912,0,,,,,
11,1.683100700378418,0,,,,,
12,1.6524066925048828,0,,,,,
13,1.623940110206604,0,,,,,
14,1.6477986574172974,0,,,,,
15,1.6038343906402588,0,,,,,
16,1.5099170207977295,0,,,,,
17,1.5456291437149048,0,,,,,
18,1.5262786149978638,0,,,,,
19,1.402608036994934,0,,,,,
20,1.3966094255447388,0,,,,,
21,1.3563264608383179,0,,,,,
22,1.607932448387146,0,,,,,
23,1.340232253074646,0,,,,,
24,1.3022130727767944,0,,,,,
25,1.3413344621658325,0,,,,,
26,1.2314304113388062,0,,,,,
27,1.2135558128356934,0,,,,,
28,1.2502061128616333,0,,,,,
29,1.2369110584259033,0,,,,,
30,1.220314621925354,0,,,,,
31,1.2301653623580933,0,,,,,
32,1.0553871393203735,0,,,,,
33,1.2030826807022095,0,,,,,
34,1.162658452987671,0,,,,,
35,1.1689321994781494,0,,,,,
36,0.9996806979179382,0,,,,,
37,1.1366221904754639,0,,,,,
38,0.9690282344818115,0,,,,,
39,0.8747178912162781,0,,,,,
0,,,0.677504301071167,,,,
1,,,0.6192318201065063,,,,
2,,,0.6016411185264587,,,,
3,,,0.6362449526786804,,,,
4,,,0.613444447517395,,,,
39,,0,,0.6300278902053833,,,
39,,0,,,0.0,1.5312544107437134,0.0
40,1.0360090732574463,1,,,,,
41,0.8977836966514587,1,,,,,
42,0.8517643809318542,1,,,,,
43,0.857120931148529,1,,,,,
44,0.8865928053855896,1,,,,,
45,0.9059356451034546,1,,,,,
46,0.7450895309448242,1,,,,,
47,0.9096472859382629,1,,,,,
48,0.7190955281257629,1,,,,,
49,0.767086923122406,1,,,,,
50,0.8435728549957275,1,,,,,
51,0.843401312828064,1,,,,,
52,0.8078392148017883,1,,,,,
53,0.8237822651863098,1,,,,,
54,0.7485128045082092,1,,,,,
55,0.822732150554657,1,,,,,
56,0.7851870656013489,1,,,,,
57,0.8395587205886841,1,,,,,
58,0.7376041412353516,1,,,,,
59,0.754304051399231,1,,,,,
60,0.6883296370506287,1,,,,,
61,0.5508647561073303,1,,,,,
62,0.5986217856407166,1,,,,,
63,0.5563609004020691,1,,,,,
64,0.5751533508300781,1,,,,,
65,0.622510552406311,1,,,,,
66,0.5244764685630798,1,,,,,
67,0.5530356764793396,1,,,,,
68,0.7736044526100159,1,,,,,
69,0.49118438363075256,1,,,,,
70,0.5993315577507019,1,,,,,
71,0.584014356136322,1,,,,,
72,0.4382225573062897,1,,,,,
73,0.45111116766929626,1,,,,,
74,0.7239817380905151,1,,,,,
75,0.40797364711761475,1,,,,,
76,0.44749686121940613,1,,,,,
77,0.548538327217102,1,,,,,
78,0.5331782102584839,1,,,,,
79,0.4507528841495514,1,,,,,
5,,,0.329761266708374,,,,
6,,,0.20033544301986694,,,,
7,,,0.20666593313217163,,,,
8,,,0.30028295516967773,,,,
9,,,0.2152407318353653,,,,
79,,1,,0.2513602674007416,,,
79,,1,,,0.0,0.6979414224624634,0.0
80,0.42389193177223206,2,,,,,
81,0.44470253586769104,2,,,,,
82,0.3678642213344574,2,,,,,
83,0.4299963712692261,2,,,,,
84,0.5760640501976013,2,,,,,
85,0.46211498975753784,2,,,,,
86,0.3465457558631897,2,,,,,
87,0.3366451859474182,2,,,,,
88,0.5466770529747009,2,,,,,
89,0.4092676341533661,2,,,,,
90,0.42856842279434204,2,,,,,
91,0.3599928617477417,2,,,,,
92,0.4310891926288605,2,,,,,
93,0.3611890375614166,2,,,,,
94,0.5119852423667908,2,,,,,
95,0.45618900656700134,2,,,,,
96,0.39605215191841125,2,,,,,
97,0.28239312767982483,2,,,,,
98,0.3257858157157898,2,,,,,
99,0.33540651202201843,2,,,,,
100,0.45608848333358765,2,,,,,
101,0.26644396781921387,2,,,,,
102,0.30555057525634766,2,,,,,
103,0.4178360402584076,2,,,,,
104,0.3943844139575958,2,,,,,
105,0.2915492355823517,2,,,,,
106,0.3374170660972595,2,,,,,
107,0.5403749346733093,2,,,,,
108,0.2899703085422516,2,,,,,
109,0.32983890175819397,2,,,,,
110,0.31743693351745605,2,,,,,
111,0.3575884699821472,2,,,,,
112,0.18286572396755219,2,,,,,
113,0.1929008811712265,2,,,,,
114,0.35857126116752625,2,,,,,
115,0.21072550117969513,2,,,,,
116,0.2382470816373825,2,,,,,
117,0.44689056277275085,2,,,,,
118,0.2821107506752014,2,,,,,
119,0.36684268712997437,2,,,,,
10,,,0.1246674582362175,,,,
11,,,0.06262649595737457,,,,
12,,,0.07188227027654648,,,,
13,,,0.14573262631893158,,,,
14,,,0.05972377210855484,,,,
119,,2,,0.09377788007259369,,,
