source_text,target_text
00b300000006ff0100040007,00b300000004ff010119
00b400000006ff0300000001,00b400000005ff03020000
00b500000006ff0100040007,00b500000004ff010119
00b600000006ff0300000001,00b600000005ff03020000
00b700000006ff0100040007,00b700000004ff010119
00b800000006ff0300000001,00b800000005ff03020000
00b900000006ff0100040007,00b900000004ff010119
00ba00000006ff0300000001,00ba00000005ff03020000
00bb00000006ff0100040007,00bb00000004ff010119
00bc00000006ff0300000001,00bc00000005ff03020000
00bd00000006ff0100040007,00bd00000004ff010119
00be00000006ff0300000001,00be00000005ff03020000
00bf00000006ff0100040007,00bf00000004ff010119
00c000000006ff0300000001,00c000000005ff03020000
00c100000006ff0100040007,00c100000004ff010119
00c200000006ff0300000001,00c200000005ff03020000
00c300000006ff0100040007,00c300000004ff010119
00c400000006ff0300000001,00c400000005ff03020000
00c500000006ff0100040007,00c500000004ff010119
00c600000006ff0300000001,00c600000005ff03020000
00c700000006ff0100040007,00c700000004ff010119
00c800000006ff0300000001,00c800000005ff03020000
00c900000006ff0100040007,00c900000004ff010119
00ca00000006ff0300000001,00ca00000005ff03020000
00cb00000006ff0100040007,00cb00000004ff010119
00cc00000006ff0300000001,00cc00000005ff03020000
00cd00000006ff0100040007,00cd00000004ff010119
00ce00000006ff0300000001,00ce00000005ff03020000
00cf00000006ff0100040007,00cf00000004ff010119
00d000000006ff0300000001,00d000000005ff03020000
00d100000006ff0100040007,00d100000004ff010119
00d200000006ff0300000001,00d200000005ff03020000
00d300000006ff0100040007,00d300000004ff010119
00d400000006ff0300000001,00d400000005ff03020000
00d500000006ff0100040007,00d500000004ff010119
00d600000006ff0300000001,00d600000005ff03020000
00d700000006ff0100040007,00d700000004ff010119
00d800000006ff0300000001,00d800000005ff03020000
00d900000006ff0100040007,00d900000004ff010119
00da00000006ff0300000001,00da00000005ff03020000
00db00000006ff0100040007,00db00000004ff010119
00dc00000006ff0300000001,00dc00000005ff03020000
00dd00000006ff0100040007,00dd00000004ff010119
00de00000006ff0300000001,00de00000005ff03020000
00df00000006ff0100040007,00df00000004ff010119
00e000000006ff050005ff00,00e000000006ff050005ff00
00e100000006ff0300000001,00e100000005ff03020000
00e200000006ff0100040007,00e200000004ff01011b
00e300000006ff0300000001,00e300000005ff03020000
00e400000006ff0100040007,00e400000004ff01011b
00e500000006ff0300000001,00e500000005ff03020000
00e600000006ff0100040007,00e600000004ff01011b
00e700000006ff0300000001,00e700000005ff03020000
00e800000006ff0100040007,00e800000004ff01011b
00e900000006ff0300000001,00e900000005ff03020000
00ea00000006ff0100040007,00ea00000004ff01011b
00eb00000006ff0300000001,00eb00000005ff03020000
00ec00000006ff0100040007,00ec00000004ff01011b
00ed00000006ff0300000001,00ed00000005ff03020000
00ee00000006ff0100040007,00ee00000004ff01011b
00ef00000006ff0300000001,00ef00000005ff03020000
00f000000006ff0100040007,00f000000004ff01011b
00f100000006ff0300000001,00f100000005ff03020000
00f200000006ff0100040007,00f200000004ff01011b
00f300000006ff0300000001,00f300000005ff03020000
00f400000006ff0100040007,00f400000004ff01011b
00f500000006ff0300000001,00f500000005ff03020000
00f600000006ff0100040007,00f600000004ff01011b
00f700000006ff0300000001,00f700000005ff03020000
00f800000006ff0100040007,00f800000004ff01011b
00f900000006ff0300000001,00f900000005ff03020000
00fa00000006ff0100040007,00fa00000004ff01011b
00fb00000006ff0300000001,00fb00000005ff03020000
00fc00000006ff0100040007,00fc00000004ff01011b
