step,csv-train_loss_step,csv-epoch,csv-val_loss_step,csv-val_loss_epoch,csv-accuracy/exact,csv-train_loss_epoch,csv-accuracy/validator
0,2.9425368309020996,0,,,,,
1,2.366931915283203,0,,,,,
2,2.216273784637451,0,,,,,
3,2.2018673419952393,0,,,,,
4,2.1371469497680664,0,,,,,
5,1.9768562316894531,0,,,,,
6,2.0911359786987305,0,,,,,
7,1.857155680656433,0,,,,,
8,1.8425815105438232,0,,,,,
9,1.7750989198684692,0,,,,,
10,1.8767958879470825,0,,,,,
11,1.77568519115448,0,,,,,
12,1.608113408088684,0,,,,,
13,1.5854860544204712,0,,,,,
14,1.6227773427963257,0,,,,,
15,1.5356290340423584,0,,,,,
16,1.528710961341858,0,,,,,
17,1.5860353708267212,0,,,,,
18,1.4557265043258667,0,,,,,
19,1.379313588142395,0,,,,,
20,1.3689204454421997,0,,,,,
21,1.5261836051940918,0,,,,,
22,1.3914703130722046,0,,,,,
23,1.3808804750442505,0,,,,,
24,1.3569830656051636,0,,,,,
25,1.261177659034729,0,,,,,
26,1.283144474029541,0,,,,,
27,1.2880271673202515,0,,,,,
28,1.1598471403121948,0,,,,,
29,1.2896857261657715,0,,,,,
30,1.1814988851547241,0,,,,,
31,1.2125056982040405,0,,,,,
32,1.2339305877685547,0,,,,,
33,1.0709503889083862,0,,,,,
34,1.1088650226593018,0,,,,,
35,1.0133873224258423,0,,,,,
36,1.1523971557617188,0,,,,,
37,0.9305034279823303,0,,,,,
38,1.0037167072296143,0,,,,,
39,1.0060651302337646,0,,,,,
40,1.0493308305740356,0,,,,,
41,0.9021320939064026,0,,,,,
42,1.1059383153915405,0,,,,,
43,0.8743730783462524,0,,,,,
44,0.8585010766983032,0,,,,,
45,0.8307822346687317,0,,,,,
46,0.8277400135993958,0,,,,,
47,0.8725658655166626,0,,,,,
48,0.9685637354850769,0,,,,,
49,0.7616702914237976,0,,,,,
50,0.7786142230033875,0,,,,,
51,0.7695388793945312,0,,,,,
52,0.6865907907485962,0,,,,,
53,0.674601137638092,0,,,,,
54,0.7767205834388733,0,,,,,
55,0.7627427577972412,0,,,,,
56,0.8000369071960449,0,,,,,
57,0.7399623394012451,0,,,,,
58,0.7426599860191345,0,,,,,
59,0.657772958278656,0,,,,,
60,0.6389192342758179,0,,,,,
