step,csv-train_loss_step,csv-epoch,csv-val_loss_step,csv-val_loss_epoch,csv-train_loss_epoch,csv-accuracy/validator,csv-accuracy/exact
0,2.9263525009155273,0,,,,,
1,2.664846658706665,0,,,,,
2,2.348923444747925,0,,,,,
3,2.296661138534546,0,,,,,
4,2.1693501472473145,0,,,,,
5,2.1664226055145264,0,,,,,
6,2.138531446456909,0,,,,,
7,2.0126125812530518,0,,,,,
8,2.046168327331543,0,,,,,
9,1.765975832939148,0,,,,,
10,1.8273504972457886,0,,,,,
11,1.776668906211853,0,,,,,
12,1.7202917337417603,0,,,,,
13,1.6729580163955688,0,,,,,
14,1.6321039199829102,0,,,,,
15,1.6509817838668823,0,,,,,
16,1.5998823642730713,0,,,,,
17,1.5998879671096802,0,,,,,
18,1.45923912525177,0,,,,,
19,1.566902995109558,0,,,,,
20,1.5354965925216675,0,,,,,
21,1.5198286771774292,0,,,,,
22,1.4920974969863892,0,,,,,
23,1.4977651834487915,0,,,,,
24,1.3099801540374756,0,,,,,
25,1.4171838760375977,0,,,,,
26,1.3787375688552856,0,,,,,
27,1.3523802757263184,0,,,,,
28,1.356014609336853,0,,,,,
29,1.291619896888733,0,,,,,
30,1.2914845943450928,0,,,,,
31,1.2072536945343018,0,,,,,
32,1.1677381992340088,0,,,,,
33,1.1790039539337158,0,,,,,
34,1.0922472476959229,0,,,,,
35,1.0934382677078247,0,,,,,
36,1.1626768112182617,0,,,,,
37,1.0547860860824585,0,,,,,
38,1.0990874767303467,0,,,,,
39,1.059860110282898,0,,,,,
0,,,0.7531236410140991,,,,
1,,,0.743417501449585,,,,
2,,,0.7048370838165283,,,,
3,,,0.7345702648162842,,,,
4,,,0.7383445501327515,,,,
39,,0,,0.7347692251205444,,,
39,,0,,,1.627435326576233,0.0,0.0
40,1.0378879308700562,1,,,,,
41,0.9896417260169983,1,,,,,
42,0.9723260402679443,1,,,,,
43,0.9307841062545776,1,,,,,
44,0.9137520790100098,1,,,,,
45,0.9670090675354004,1,,,,,
46,1.0878578424453735,1,,,,,
47,0.996776819229126,1,,,,,
48,0.8774875998497009,1,,,,,
49,0.9545421004295349,1,,,,,
50,0.7462233304977417,1,,,,,
51,0.805473268032074,1,,,,,
52,0.874364972114563,1,,,,,
53,0.8969419598579407,1,,,,,
54,0.9001591801643372,1,,,,,
55,0.848153829574585,1,,,,,
56,0.8211259841918945,1,,,,,
57,1.0057934522628784,1,,,,,
58,0.7059242725372314,1,,,,,
59,0.7821383476257324,1,,,,,
60,0.6696465015411377,1,,,,,
61,0.6802225112915039,1,,,,,
62,0.8291159868240356,1,,,,,
63,0.662564218044281,1,,,,,
64,0.6764616370201111,1,,,,,
65,0.6056506633758545,1,,,,,
66,0.5770242810249329,1,,,,,
